core_str,StreamKey,sample_size,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,sample_tier,meets_signal_floor,usable_as_primary_candidate,usable_as_tiebreaker
027,Atlantic Canada | Lotto 4,1235,11,0.891,0.361,2.468,0.53,0.01173,STRONG_STABLE_250_PLUS,True,True,True
027,Wisconsin | Pick 4 Midday,1232,10,0.812,0.361,2.249,0.451,0.008778,STRONG_STABLE_250_PLUS,True,True,True
027,Florida | Pick 4 Evening,1233,10,0.811,0.361,2.247,0.45,0.008751,STRONG_STABLE_250_PLUS,True,True,True
027,Mississippi | Cash 4 Evening,1230,9,0.732,0.361,2.028,0.371,0.005626,STRONG_STABLE_250_PLUS,False,False,True
027,Louisiana | Pick 4,1227,8,0.652,0.361,1.807,0.291,0.003335,STRONG_STABLE_250_PLUS,False,False,True
027,Tennessee | Cash 4 Midday,1054,7,0.664,0.361,1.84,0.303,0.002929,STRONG_STABLE_250_PLUS,False,False,True
027,Ontario | Pick 4 Evening,1230,7,0.569,0.361,1.577,0.208,0.001723,STRONG_STABLE_250_PLUS,False,False,True
027,Indiana | Daily 4 Evening,1231,7,0.569,0.361,1.576,0.208,0.001722,STRONG_STABLE_250_PLUS,False,False,True
027,Rhode Island | Numbers Game Midday,1231,7,0.569,0.361,1.576,0.208,0.001722,STRONG_STABLE_250_PLUS,False,False,True
027,Connecticut | Play 4 Day,1232,7,0.568,0.361,1.574,0.207,0.001712,STRONG_STABLE_250_PLUS,False,False,True
027,Maryland | Pick 4 Evening,1233,7,0.568,0.361,1.573,0.207,0.001711,STRONG_STABLE_250_PLUS,False,False,True
027,Texas | Daily 4 Day,1055,6,0.569,0.361,1.576,0.208,0.001381,STRONG_STABLE_250_PLUS,False,False,True
027,Oregon | Pick 4 10pm,1220,6,0.492,0.361,1.363,0.131,0.000752,STRONG_STABLE_250_PLUS,False,False,True
